Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pearl-pu-croc-bag,PEARL PU Croc Bag,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Specifications:</b> (Width) 26cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1"">                          (Height) 15.5cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Adjustable Crossbody strap:</b> 60cm </p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Material:</b> PU Leather/ Polyester lining.</p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Closure: Zipper</b></p>",MUSES.,Bags,"bags, baguette bag, new in, shoulder bag, vintage",true,Title,Default Title,,,,,"",383.0,shopify,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5892.jpg?v=1607917779,1,,false,,,,,,,,,,,,,,,,,g,,,active
pearl-pu-croc-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_58022.jpg?v=1607917779,2,,,,,,,,,,,,,,,,,,,,,,
pearl-pu-croc-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/6cddc01e-cd70-4c29-8e2e-2053bae74f37.jpg?v=1607917779,3,,,,,,,,,,,,,,,,,,,,,,
pearl-pu-croc-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_6670.jpg?v=1607917779,4,,,,,,,,,,,,,,,,,,,,,,
barb-mini-bag,BARB Mini bag,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Specifications:</b> (Width) 12.5cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1"">                          (Height) 9cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Adjustable Crossbody strap:</b> 109cm </p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Material:</b> PU croc Leather/ Polyester lining.</p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Closure: Flap cover</b></p>",MUSES.,Bags,"bags, baguette bag, new in, shoulder bag",true,Color,White,,,,,"",172.0,shopify,0,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5917.jpg?v=1607917470,1,,false,,,,,,,,,,,,,,,,,g,,,active
barb-mini-bag,,,,,,,,Brown,,,,,"",172.0,shopify,1,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/5e861654-368e-448e-8b8b-59288a2cc7e6.jpg?v=1607917471,2,,,,,,,,,,,,,,,,,,,g,,,
barb-mini-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5928.jpg?v=1607917471,3,,,,,,,,,,,,,,,,,,,,,,
barb-mini-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5852.jpg?v=1607917471,4,,,,,,,,,,,,,,,,,,,,,,
sola-pu-bag,SOLA PU Twist Hand bag,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Specifications:</b> (Width) 26.8cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1"">                          (Height) 15cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Adjustable Crossbody strap:</b> 64cm </p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Material:</b> PU Leather/ Polyester lining.</p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Closure: clip</b></p>",MUSES.,Bags,"bags, baguette bag, crossbody bag, new in, shoulder bag",true,Color,white,,,,,"",368.0,shopify,1,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_6982.jpg?v=1607912636,1,,false,,,,,,,,,,,,,,,,,g,,,active
sola-pu-bag,,,,,,,,black,,,,,"",368.0,shopify,1,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5881.jpg?v=1607912637,2,,,,,,,,,,,,,,,,,,,g,,,
sola-pu-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_6668.jpg?v=1607912637,3,,,,,,,,,,,,,,,,,,,,,,
sola-pu-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/89239a34-5010-4cf8-a996-b7da6253ebbf.jpg?v=1607912637,4,,,,,,,,,,,,,,,,,,,,,,
